model_dir,dataset_split,gold_rule_id,parsed_rule_id,n,task_errors,share_of_task_errors,parsed_rule_meaning
DeepSeek-R1-671B,eval_A,A_peer_weighted,B_top_anchor,184,1156,0.15916955017301038,Shortcut: closest/top peer stacked on baseline
DeepSeek-R1-671B,eval_A,A_peer_weighted,C_uniform_avg,245,1156,0.21193771626297578,Shortcut: flat peer average instead of g_ij weights
DeepSeek-R1-671B,eval_A,A_peer_weighted,D_pure_private,95,1156,0.08217993079584775,Private baseline only; should dominate placebo
DeepSeek-R1-671B,eval_A,A_peer_weighted,E_closest_mimicry,125,1156,0.10813148788927336,Shortcut: clone closest peer directly
DeepSeek-R1-671B,eval_A,A_peer_weighted,F_median_anchor,213,1156,0.1842560553633218,Shortcut: median peer anchor
DeepSeek-R1-671B,eval_A,A_peer_weighted,G_counter_conformist,96,1156,0.08304498269896193,Counter-conformist distractor
DeepSeek-R1-671B,eval_A,A_peer_weighted,H_equal_mix,198,1156,0.17128027681660898,Equal mix of private baseline and social aggregate
DeepSeek-R1-671B,placebo_test,D_pure_private,A_peer_weighted,42,345,0.12173913043478261,Langtry gold: baseline + alpha * closeness-weighted peer reference
DeepSeek-R1-671B,placebo_test,D_pure_private,B_top_anchor,50,345,0.14492753623188406,Shortcut: closest/top peer stacked on baseline
DeepSeek-R1-671B,placebo_test,D_pure_private,C_uniform_avg,78,345,0.22608695652173913,Shortcut: flat peer average instead of g_ij weights
DeepSeek-R1-671B,placebo_test,D_pure_private,E_closest_mimicry,32,345,0.0927536231884058,Shortcut: clone closest peer directly
DeepSeek-R1-671B,placebo_test,D_pure_private,F_median_anchor,53,345,0.1536231884057971,Shortcut: median peer anchor
DeepSeek-R1-671B,placebo_test,D_pure_private,G_counter_conformist,28,345,0.08115942028985507,Counter-conformist distractor
DeepSeek-R1-671B,placebo_test,D_pure_private,H_equal_mix,62,345,0.17971014492753623,Equal mix of private baseline and social aggregate
Qwen,eval_A,A_peer_weighted,B_top_anchor,176,993,0.1772406847935549,Shortcut: closest/top peer stacked on baseline
Qwen,eval_A,A_peer_weighted,C_uniform_avg,205,993,0.20644511581067473,Shortcut: flat peer average instead of g_ij weights
Qwen,eval_A,A_peer_weighted,D_pure_private,103,993,0.10372608257804633,Private baseline only; should dominate placebo
Qwen,eval_A,A_peer_weighted,E_closest_mimicry,146,993,0.1470292044310171,Shortcut: clone closest peer directly
Qwen,eval_A,A_peer_weighted,F_median_anchor,174,993,0.17522658610271905,Shortcut: median peer anchor
Qwen,eval_A,A_peer_weighted,G_counter_conformist,34,993,0.03423967774420947,Counter-conformist distractor
Qwen,eval_A,A_peer_weighted,H_equal_mix,155,993,0.15609264853977844,Equal mix of private baseline and social aggregate
