model_dir,dataset_split,total,correct,accuracy,parse_rate,accuracy_pct,parse_rate_pct
DeepSeek-R1-671B,eval_A,1512,354,0.23412698412698413,0.9986772486772487,23.41269841269841,99.86772486772487
DeepSeek-R1-671B,eval_B,280,167,0.5964285714285714,0.9928571428571429,59.64285714285714,99.28571428571429
DeepSeek-R1-671B,placebo_test,504,151,0.2996031746031746,0.9841269841269841,29.96031746031746,98.4126984126984
DeepSeek-R1-671B,ood_social,576,328,0.5694444444444444,0.9982638888888888,56.94444444444444,99.82638888888889
DeepSeek-R1-671B,ood_career,576,264,0.4583333333333333,0.9704861111111112,45.83333333333333,97.04861111111111
Qwen,eval_A,1512,512,0.3386243386243386,0.9953703703703703,33.86243386243386,99.53703703703704
Qwen,eval_B,280,196,0.7,1.0,70.0,100.0
Qwen,placebo_test,504,301,0.5972222222222222,0.9940476190476191,59.72222222222222,99.40476190476191
Qwen,ood_social,576,380,0.6597222222222222,0.9982638888888888,65.97222222222221,99.82638888888889
Qwen,ood_career,576,285,0.4947916666666667,0.9965277777777778,49.47916666666667,99.65277777777779
gpt4,eval_A,1512,780,0.5158730158730159,1.0,51.587301587301596,100.0
gpt4,eval_B,280,175,0.625,0.8857142857142857,62.5,88.57142857142857
gpt4,placebo_test,504,484,0.9603174603174603,1.0,96.03174603174604,100.0
gpt4,ood_social,576,400,0.6944444444444444,1.0,69.44444444444444,100.0
gpt4,ood_career,576,288,0.5,1.0,50.0,100.0
ollama-llama3-1-latest,eval_A,1512,631,0.4173280423280423,1.0,41.732804232804234,100.0
ollama-llama3-1-latest,eval_B,280,173,0.6178571428571429,1.0,61.78571428571429,100.0
ollama-llama3-1-latest,placebo_test,504,379,0.751984126984127,1.0,75.1984126984127,100.0
ollama-llama3-1-latest,ood_social,576,357,0.6197916666666666,1.0,61.979166666666664,100.0
ollama-llama3-1-latest,ood_career,576,290,0.5034722222222222,1.0,50.34722222222222,100.0
ollama-llama3-8b,eval_A,1512,610,0.40343915343915343,1.0,40.34391534391534,100.0
ollama-llama3-8b,eval_B,280,163,0.5821428571428572,1.0,58.214285714285715,100.0
ollama-llama3-8b,placebo_test,504,400,0.7936507936507936,1.0,79.36507936507937,100.0
ollama-llama3-8b,ood_social,576,344,0.5972222222222222,1.0,59.72222222222222,100.0
ollama-llama3-8b,ood_career,576,298,0.5173611111111112,1.0,51.736111111111114,100.0
ollama-qwen2-7b,eval_A,1512,705,0.4662698412698413,1.0,46.62698412698413,100.0
ollama-qwen2-7b,eval_B,280,158,0.5642857142857143,1.0,56.42857142857143,100.0
ollama-qwen2-7b,placebo_test,504,462,0.9166666666666666,1.0,91.66666666666666,100.0
ollama-qwen2-7b,ood_social,576,341,0.5920138888888888,1.0,59.201388888888886,100.0
ollama-qwen2-7b,ood_career,576,274,0.4756944444444444,1.0,47.56944444444444,100.0
