model_dir,dataset_split,mentions weighted language,total,correct,marker,accuracy_pct,mentions average language,mentions private baseline language,mentions closest-peer language
DeepSeek-R1-671B,eval_A,False,2,0,mentions weighted language,0.0,,,
DeepSeek-R1-671B,eval_A,True,1510,354,mentions weighted language,23.443708609271525,,,
DeepSeek-R1-671B,eval_B,False,42,25,mentions weighted language,59.523809523809526,,,
DeepSeek-R1-671B,eval_B,True,238,142,mentions weighted language,59.66386554621849,,,
DeepSeek-R1-671B,placebo_test,False,72,63,mentions weighted language,87.5,,,
DeepSeek-R1-671B,placebo_test,True,432,88,mentions weighted language,20.37037037037037,,,
DeepSeek-R1-671B,ood_social,False,178,120,mentions weighted language,67.41573033707866,,,
DeepSeek-R1-671B,ood_social,True,398,208,mentions weighted language,52.26130653266332,,,
DeepSeek-R1-671B,ood_career,False,548,253,mentions weighted language,46.167883211678834,,,
DeepSeek-R1-671B,ood_career,True,28,11,mentions weighted language,39.285714285714285,,,
Qwen,eval_A,False,106,20,mentions weighted language,18.867924528301888,,,
Qwen,eval_A,True,1406,492,mentions weighted language,34.99288762446657,,,
Qwen,eval_B,False,100,83,mentions weighted language,83.0,,,
Qwen,eval_B,True,180,113,mentions weighted language,62.77777777777778,,,
Qwen,placebo_test,False,279,249,mentions weighted language,89.24731182795699,,,
Qwen,placebo_test,True,225,52,mentions weighted language,23.11111111111111,,,
Qwen,ood_social,False,335,254,mentions weighted language,75.82089552238806,,,
Qwen,ood_social,True,241,126,mentions weighted language,52.28215767634855,,,
Qwen,ood_career,False,567,281,mentions weighted language,49.55908289241623,,,
Qwen,ood_career,True,9,4,mentions weighted language,44.44444444444444,,,
gpt4,eval_A,False,332,63,mentions weighted language,18.97590361445783,,,
gpt4,eval_A,True,1180,717,mentions weighted language,60.76271186440678,,,
gpt4,eval_B,False,116,62,mentions weighted language,53.44827586206897,,,
gpt4,eval_B,True,164,113,mentions weighted language,68.90243902439025,,,
gpt4,placebo_test,False,478,475,mentions weighted language,99.3723849372385,,,
gpt4,placebo_test,True,26,9,mentions weighted language,34.61538461538461,,,
gpt4,ood_social,False,213,151,mentions weighted language,70.89201877934272,,,
gpt4,ood_social,True,363,249,mentions weighted language,68.59504132231405,,,
gpt4,ood_career,False,572,287,mentions weighted language,50.17482517482517,,,
gpt4,ood_career,True,4,1,mentions weighted language,25.0,,,
ollama-llama3-1-latest,eval_A,False,917,306,mentions weighted language,33.36968375136314,,,
ollama-llama3-1-latest,eval_A,True,595,325,mentions weighted language,54.621848739495796,,,
ollama-llama3-1-latest,eval_B,False,206,132,mentions weighted language,64.07766990291262,,,
ollama-llama3-1-latest,eval_B,True,74,41,mentions weighted language,55.4054054054054,,,
ollama-llama3-1-latest,placebo_test,False,451,367,mentions weighted language,81.37472283813747,,,
